id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
37688,Living in our family home,162227,Theja,,MELVILLE,-32.06806,115.87674,Private room,70,1,0,,,1,365,0,
42713,Bed with Breakfast,186576,Denise,,IRWIN,-29.25216,114.93205,Private room,94,1,15,2022-01-04,0.19,1,365,7,
59311,family home in canning vale,284743,Rudy And Lina,,GOSNELLS,-32.07592,115.93188,Private room,65,1,7,2018-04-28,0.05,1,362,0,
69534,Palms BB,348191,Teresa,,JOONDALUP,-31.84295,115.80467,Private room,85,2,10,2021-11-12,0.19,1,174,5,
81044,Welcome Home Family Villa near Fremantle,431695,Carol,,MELVILLE,-32.04561,115.7833,Entire home/apt,159,4,13,2021-11-30,0.14,1,215,5,
83521,Perth Northern Suburbs Stay-Unique,275749,Daniel,,SWAN,-31.82727,115.88768,Private room,100,1,1,2011-05-09,0.01,1,365,0,
88185,Palmerston Paradise - downstairs,474393,Anne,,VINCENT,-31.942358,115.858208,Private room,75,2,191,2021-12-28,1.46,2,245,10,
100798,Mount Lawley close city/airport,529238,Jean,,STIRLING,-31.92177,115.8769,Private room,50,2,214,2020-03-11,1.64,1,350,0,
119422,Executive Large Single Rm - very comfortable/clean,602975,Mary,,JOONDALUP,-31.81418,115.74194,Private room,70,2,22,2019-11-24,0.17,3,362,0,
141083,"Private Room, ensuite & sep lounge",686529,Suzy,,WANNEROO,-31.65324,115.69228,Private room,195,2,0,,,1,365,0,
141610,"Leela, premium 2 BR spa Villa",688591,Gadi,,DENMARK,-34.98308,117.35286,Entire home/apt,366,5,5,2022-01-07,0.14,5,284,2,
142567,Templemore Gardens_Single Bedroom 1,691076,Pauline,,SOUTH PERTH,-32.0175,115.88602,Private room,73,2,25,2019-04-20,0.20,1,365,0,
161731,20 Minutes walk to Perth City,773536,Eugene & Terry,,VINCENT,-31.93846,115.86798,Private room,55,1,126,2022-01-12,0.99,1,363,28,
173260,"Serena St Beach House, Falcon Bay",827051,Carol,,MANDURAH,-32.58746,115.65359,Entire home/apt,150,2,30,2022-01-16,0.27,2,340,8,
205892,Walk to Perth & Cultural Centre - West Perth house,1012875,Jane,,VINCENT,-31.94108,115.85282,Private room,60,2,50,2021-06-30,0.40,2,178,3,
231540,The Apple - Heritage Home 8 Acres,747002,Aimee,,BRIDGETOWN-GREENBUSHES,-33.97094,116.148,Entire home/apt,228,2,122,2022-01-08,1.20,1,267,29,
253579,Two Rooms for Price of One,1331712,Steve,,MELVILLE,-32.03495,115.80114,Private room,49,5,29,2016-11-16,0.24,1,329,0,
253921,YOUR OWN SUITE OF ROOMS,256425,Felicia,,EAST FREMANTLE,-32.0356,115.76413,Private room,67,30,8,2021-08-24,0.07,1,354,4,
254578,Back Beach Cottage,1337347,Nicolas,,GINGIN,-31.02491,115.33661,Entire home/apt,228,5,2,2016-01-18,0.02,1,343,0,
274406,Live Like a Local,1430540,Trish,,FREMANTLE,-32.06245,115.74915,Private room,54,2,173,2021-12-11,1.50,3,8,22,
284891,CoSy Vintage Room,1430540,Trish,,FREMANTLE,-32.06055,115.74953,Private room,49,2,268,2022-01-09,2.19,3,269,39,
284909,Peaceful  Perfect Location,1430540,Trish,,FREMANTLE,-32.05854,115.75032,Private room,50,2,253,2022-01-16,2.13,3,147,36,
297749,Private Bedroom (2)  Pool + B/R,1535254,John,,SWAN,-31.86406,116.05199,Private room,67,1,14,2015-09-22,0.12,2,363,0,
300640,Extra large room AC NBN WiFi,1548293,Yan,,GOSNELLS,-32.03238,115.958,Private room,60,7,6,2021-12-29,0.05,8,364,1,
304886,Silver Street Studios: Fremantle’s unique retreat,1576058,Judy,,FREMANTLE,-32.0639,115.75135,Entire home/apt,298,4,13,2022-01-11,0.47,1,135,7,
305886,Cool king single by Yule Brook WiFi,1548293,Yan,,GOSNELLS,-32.03238,115.958,Private room,40,7,9,2021-12-14,0.08,8,364,1,
315801,Fully refurbished. Self contained furnished Studio,1621815,Phoebe,,MELVILLE,-32.0296,115.83064,Private room,65,2,24,2021-12-30,0.23,1,300,6,
332709,Swan Valley Retreat Jane Brook WA,1535254,John,,SWAN,-31.86584,116.05148,Private room,67,1,13,2016-12-31,0.11,2,365,0,
348872,Foreshore Apt 109 -Great location!,1767860,Jenni,,ALBANY,-35.02808,117.88728,Entire home/apt,122,1,432,2022-01-22,3.58,1,49,44,
363087,Balneaire Seven,1834803,Barbara,,ALBANY,-35.02543,117.91209,Entire home/apt,315,2,124,2022-01-22,2.04,1,300,25,
373860,Standard double room AC NBN,1548293,Yan,,GOSNELLS,-32.03238,115.958,Private room,50,7,5,2019-10-10,0.05,8,364,0,
390748,Relaxing Spa 10 min from the City,1937593,Chantelle & Lance,,CANNING,-32.01614,115.90706,Entire home/apt,800,2,38,2015-12-08,0.32,1,364,0,
401138,inviting warm home with the owners,2002278,Jann,,KALAMUNDA,-31.97571,116.0198,Private room,100,1,5,2021-07-07,0.05,2,328,1,
