id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2115,Como Quality Suite Accommodation,2313,Helen,,SOUTH PERTH,-32.00871,115.86407,Private room,147,1,84,2022-09-12,0.70,1,73,25,
42713,Bed with Breakfast,186576,Denise,,IRWIN,-29.25216,114.93205,Private room,94,1,16,2022-06-06,0.18,1,339,3,
59311,family home in canning vale,284743,Rudy And Lina,,GOSNELLS,-32.07592,115.93188,Private room,65,1,7,2018-04-28,0.05,1,262,0,
69534,Palms BB,348191,Teresa,,JOONDALUP,-31.84295,115.80467,Private room,108,2,11,2022-07-01,0.18,1,238,3,
88185,Palmerston Paradise - downstairs,474393,Anne,,VINCENT,-31.942358,115.858208,Private room,75,2,207,2022-09-19,1.49,2,76,19,
1060326,THE SPANISH LODGE  (Hillarys) Pets O.K.,5745887,Carmen,,JOONDALUP,-31.80234,115.75013,Private room,115,1,37,2022-09-18,0.37,8,361,8,
119422,Executive Large Single Rm - very comfortable/clean,602975,Mary,,JOONDALUP,-31.81418,115.74194,Private room,70,2,25,2022-07-12,0.18,2,354,3,
141083,"Private Room, ensuite & sep lounge",686529,Suzy,,WANNEROO,-31.65324,115.69228,Private room,195,2,0,,,1,365,0,
1078040,"Grunters Beach House: beaches, wineries & cafes!",5931511,Tracy,,AUGUSTA-MARGARET RIVER,-33.99376,114.99818,Entire home/apt,395,3,74,2022-07-18,0.70,1,207,17,
141610,"Leela, premium 2 BR spa Villa",688591,Gadi,,DENMARK,-34.98308,117.35286,Entire home/apt,356,5,8,2022-08-18,0.18,5,263,4,
1084456,Beautiful Cottage in Dwellingup,5961054,Robert,,MURRAY,-32.7121,116.06193,Entire home/apt,190,1,194,2022-09-11,2.69,2,324,66,
161731,20 Minutes walk to Perth City,773536,Eugene And Terry,,VINCENT,-31.93846,115.86798,Private room,85,1,147,2022-09-18,1.09,1,332,35,
173260,"Serena St Beach House, Falcon Bay",827051,Carol,,MANDURAH,-32.58746,115.65359,Entire home/apt,150,2,40,2022-07-13,0.34,2,318,14,
1089259,Gold room in Astoria Retreat B&B Perth,5984984,Natalie,,WANNEROO,-31.82967185974121,115.86812591552734,Private room,149,1,0,,,1,365,0,
231540,The Apple - Heritage Home 8 Acres,747002,Aimee,,BRIDGETOWN-GREENBUSHES,-33.97094,116.148,Entire home/apt,256,2,148,2022-08-24,1.35,1,278,35,
253579,Two Rooms for Price of One,1331712,Steve,,MELVILLE,-32.03495,115.80114,Private room,49,5,31,2022-09-14,0.24,1,340,2,
1097710,Maslin Luxury Spa Suite  Queen Bed,6032622,Gillian,,DONNYBROOK-BALINGUP,-33.7469,115.94915,Private room,199,2,2,2022-03-07,0.07,2,219,1,
253921,YOUR OWN SUITE OF ROOMS,256425,Felicia,,EAST FREMANTLE,-32.0356,115.76413,Private room,80,30,9,2022-01-28,0.07,1,360,1,
274406,Live Like a Local,1430540,Trish,,FREMANTLE,-32.06245,115.74915,Private room,54,2,183,2022-09-05,1.49,4,0,21,
1116909,Suburban hang out amongst the trees,6115114,Shaun,,GOSNELLS,-32.0502,115.96132,Private room,33,5,55,2022-08-22,0.51,1,262,4,
284891,CoSy Vintage Room,1430540,Trish,,FREMANTLE,-32.06055,115.74953,Private room,49,2,277,2022-09-04,2.13,4,0,17,
284909,Peaceful  Perfect Location,1430540,Trish,,FREMANTLE,-32.05854,115.75032,Private room,51,2,273,2022-09-04,2.16,4,1,36,
300640,Extra large room AC NBN WiFi,1548293,Yan,,GOSNELLS,-32.03238,115.958,Private room,70,7,6,2021-12-29,0.05,7,362,1,
1125165,Martha's Rest - The Garden Suite,6172414,Lyn,,FREMANTLE,-32.06529,115.75816,Private room,95,2,56,2022-09-17,0.52,3,325,10,
304886,Silver Street Studios: Fremantle’s unique retreat,1576058,Judy,,FREMANTLE,-32.0639,115.75135,Entire home/apt,301,4,14,2022-02-01,0.40,1,105,5,
1125272,Martha's Rest - The Ocean Suite,6172414,Lyn,,FREMANTLE,-32.06406,115.75914,Private room,100,2,36,2022-04-18,0.33,3,305,1,
305886,Cool king single by Yule Brook WiFi,1548293,Yan,,GOSNELLS,-32.03238,115.958,Private room,40,7,12,2022-08-24,0.10,7,350,4,
315801,Fully refurbished. Self contained furnished Studio,1621815,Phoebe,,MELVILLE,-32.0296,115.83064,Private room,75,3,30,2022-08-22,0.27,1,67,11,
1134293,Peaceful home and organic gardens.,893264,Penny,,BASSENDEAN,-31.89793,115.95221,Private room,70,2,25,2022-09-17,0.22,1,329,1,
324068,Inner City Family Home in Leederville,1658156,Petar,,VINCENT,-31.92645,115.84383,Entire home/apt,270,2,1,2022-09-08,1,1,24,1,
348872,Foreshore Apt 109 -Great location!,1767860,Jenni,,ALBANY,-35.02808,117.88728,Entire home/apt,116,1,476,2022-09-15,3.70,1,33,50,
1145287,Ines Turicum @ Monkey Rock Winery/Cidery Denmark,7137447,Stephanie,,DENMARK,-35.00581,117.26965,Entire home/apt,211,1,178,2022-08-24,1.68,7,0,34,
363087,Balneaire Seven,1834803,Barbara,,ALBANY,-35.02543,117.91209,Entire home/apt,290,2,136,2022-07-23,1.98,1,263,27,
1175580,Beach and Country,6433934,Che,,WANNEROO,-31.67629,115.75145,Private room,102,1,0,,,1,365,0,
373860,Standard queen room AC NBN,1548293,Yan,,GOSNELLS,-32.03238,115.958,Private room,50,7,6,2022-03-08,0.06,7,350,1,
390748,Relaxing Spa 10 min from the City,1937593,Chantelle & Lance,,CANNING,-32.01614,115.90706,Entire home/apt,800,2,38,2015-12-08,0.30,1,364,0,
423227,Eclectic Room for Vegan Guests,1724505,Linda,,VINCENT,-31.93885,115.8811,Private room,80,2,59,2022-06-02,0.48,4,231,8,
1201497,The Hideaway,3377184,Te-NeeleAndKane,,BELMONT,-31.93533,115.94099,Entire home/apt,88,1,881,2022-08-21,7.78,1,236,40,
429588,"2 Bdrm, 1 Bthrm-City-WIFI-Pool-on Free Bus Route",2091272,Brenda,,PERTH,-31.958879,115.873207,Entire home/apt,386,3,26,2019-08-13,0.27,2,29,0,
