id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2115,Como Quality Suite Accommodation,2313,Helen,,SOUTH PERTH,-32.00871,115.86407,Private room,140,1,115,2023-02-13,0.92,1,60,43,
42713,Bed with Breakfast,186576,Denise,,IRWIN,-29.25216,114.93205,Private room,94,1,16,2022-06-06,0.17,1,365,1,
65261,"Bright but cosy Fremantle Unit, 1-2 Guests",319052,Suzanne Elizabeth,,FREMANTLE,-32.04927,115.76559,Entire home/apt,70,2,300,2023-02-15,2.12,1,119,38,
69534,Palms BB,348191,Teresa,,JOONDALUP,-31.84295,115.80467,Private room,120,3,12,2022-12-19,0.18,1,138,2,
88185,Palmerston Paradise - downstairs,474393,Anne,,VINCENT,-31.942358,115.858208,Private room,75,2,213,2023-02-01,1.48,2,78,22,
119422,Executive Large Single Rm - very comfortable/clean,602975,Mary,,JOONDALUP,-31.81418,115.74194,Private room,70,2,31,2023-02-17,0.22,2,182,9,
1116909,Suburban hang out amongst the trees,6115114,Shaun,,GOSNELLS,-32.0502,115.96132,Private room,50,5,60,2023-01-28,0.53,1,270,9,
2527369,Peppy Beach House,9132136,Charles,,CAPEL,-33.52288,115.51126,Entire home/apt,280,2,98,2023-02-12,0.99,1,339,13,
1125165,Martha's Rest - The Garden Suite,6172414,Lyn,,FREMANTLE,-32.06529,115.75816,Private room,95,2,64,2023-02-09,0.56,3,306,15,
1125272,Martha's Rest - The Ocean Suite,6172414,Lyn,,FREMANTLE,-32.06406,115.75914,Private room,100,2,46,2023-02-22,0.41,3,307,11,
1134293,Peaceful home and organic gardens.,893264,Penny,,BASSENDEAN,-31.89793,115.95221,Private room,70,2,29,2023-01-05,0.24,1,340,5,
1201497,The Hideaway,3377184,Te-NeeleAndKane,,BELMONT,-31.93533,115.94099,Entire home/apt,81,1,907,2023-02-08,7.66,1,240,58,
2554343,Double Room with Shared Bathroom (3),851626,Jodi & Kyle,,JOONDALUP,-31.76687,115.74127,Private room,125,1,19,2023-01-14,0.19,5,318,4,
2555426,Twin Gums-Subiaco/Perth Cottage,6515090,Gillian,,SUBIACO,-31.95585,115.81821,Entire home/apt,144,3,234,2023-02-09,2.16,1,215,26,
2561342,Margaret River Sea Escape 1,13114227,Tony,,AUGUSTA-MARGARET RIVER,-33.98339,114.99145,Entire home/apt,160,3,27,2023-01-21,0.25,4,227,5,
2561590,Margaret River Sea Escape 2,13114227,Tony,,AUGUSTA-MARGARET RIVER,-33.98415,114.99222,Entire home/apt,210,3,39,2022-12-25,0.37,4,245,8,
1206699,Cosy Bedroom with own bathroom,6592108,Gwen,,WANNEROO,-31.72154,115.78575,Private room,50,1,8,2023-02-12,0.07,1,233,5,
1233656,"Rustic, restored cottage overlooking Balingup.",6728202,Al,,DONNYBROOK-BALINGUP,-33.75711,115.97846,Entire home/apt,168,2,84,2022-12-23,1.97,1,325,23,
2566204,Private entry motel style room with ensuite,4327305,Fiona,,ESPERANCE,-33.86702,121.88323,Private room,119,3,174,2022-04-01,1.62,1,0,4,
1234975,Charming House in heart of Subiaco,6733465,Valerie,,SUBIACO,-31.95641,115.81855,Entire home/apt,373,3,2,2023-01-29,1.46,1,332,2,
1260996,2 Double Bedrooms in Private House.,6868475,Robyn,,MURRAY,-32.58318,115.79354,Private room,60,1,194,2023-02-13,1.67,1,173,52,
2571923,The Ultimate Retro Beach Shack,163922,Benedict,,JERRAMUNGUP,-34.44342,119.39519,Entire home/apt,266,2,247,2023-02-09,2.30,2,67,41,
2589277,Quiet city home near train & river,2219390,Deborah,,VINCENT,-31.94383,115.87864,Entire home/apt,100,28,88,2023-01-05,0.95,1,266,3,
2589912,Koolinda -Perfect for Families and Friend Getaways,13259629,Donna And Karl,,BROOME,-17.97284,122.23047,Entire home/apt,846,4,31,2022-10-19,0.39,1,212,8,
1276806,"Beach house in Trigg, Perth",6949912,Alison,,STIRLING,-31.86872,115.75591,Entire home/apt,113,3,77,2020-10-08,0.66,1,19,0,
1281541,HOUSE OF REST 2BR apt 2.5km fr city,6973407,Mabel,,STIRLING,-31.93691,115.8781,Entire home/apt,110,180,12,2014-02-13,0.10,1,267,0,
2646063,B2 Crawley Apartment 1 BRM + Sleepout near UWA,12629396,Terry,,NEDLANDS,-31.98097,115.814,Entire home/apt,186,3,17,2020-09-05,0.17,12,0,0,
141083,"Private Room, ensuite & sep lounge",686529,Suzy,,WANNEROO,-31.65324,115.69228,Private room,195,2,0,,,1,365,0,
2679754,2 Bedroom Unit Centrally located,13721542,Jo,,BUNBURY,-33.33035,115.62968,Entire home/apt,155,2,103,2023-02-06,1.03,2,316,15,
