id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13996997,Brand New Apartment - Opposite Perth Zoo!,56683967,Mark,,SOUTH PERTH,-31.97013,115.85443,Entire home/apt,273,4,100,2022-05-28,1.39,3,200,5,
52829205,"Barefoot beach front escape, moments to the ocean!",31134236,Sarah,,STIRLING,-31.86853,115.75194,Entire home/apt,664,3,15,2022-05-27,2.37,1,316,15,
47722611,Fusion of 20th century charm & modern convenience!,55410179,Let Go,,PERTH,-31.95255,115.83302,Entire home/apt,299,2,35,2022-06-05,2.08,55,84,22,
21872065,Central City  1 Bed Apartment - City Views,88588252,Emma,,PERTH,-31.96113,115.86053,Entire home/apt,170,7,1,2018-05-28,0.02,5,58,0,
731606,Viewport Apartment - Fremantle,3808149,Jo,,FREMANTLE,-32.04453,115.74471,Entire home/apt,100,4,197,2021-06-29,1.69,1,137,1,
15807076,Fremantle Beach House,69468370,Rob & Dawn,,FREMANTLE,-32.05782,115.74124,Entire home/apt,219,180,37,2020-03-17,0.58,1,362,0,
49217666,Studio Room in North Fremantle's amazing location,140114473,Garry,,FREMANTLE,-32.03205,115.76035,Entire home/apt,195,1,3,2022-06-04,0.48,9,281,3,
49144626,Studio with River views plus Pet Friendly,140114473,Garry,,FREMANTLE,-32.03399,115.76083,Entire home/apt,216,1,9,2022-05-29,0.64,9,348,7,
24214984,PerthStays - Bedford 1 - Subiaco & West Perth,20505466,Maggie,,PERTH,-31.95173,115.83254,Entire home/apt,185,5,20,2022-05-10,0.47,29,266,3,
49294664,Luxe Pet Friendly Suite with exquisite river views,140114473,Garry,,EAST FREMANTLE,-32.03371,115.76109,Entire home/apt,435,1,21,2022-05-24,1.53,9,356,18,
47817778,PET FRIENDLY 1 Queen Bed & 2 Singles,140114473,Garry,,FREMANTLE,-32.03423,115.76062,Private room,528,1,8,2022-06-05,0.66,9,357,8,
6331788,Rooms in a big house by the River,32750819,Bang Quan,,PERTH,-31.94852,115.8815,Private room,80,1,0,,,2,363,0,
46028632,Perth Swan River riverside House 海边度假别墅,166551120,Haobiao,,MELVILLE,-32.03237,115.85352,Entire home/apt,915,3,17,2022-05-03,1.10,1,4,14,
47164372,Inner-City Perth Riverfront Suite,25979947,Michelle,,PERTH,-31.94768,115.88145,Entire home/apt,115,2,63,2022-06-12,3.71,1,147,42,
2115,Como Quality Suite Accommodation,2313,Helen,,SOUTH PERTH,-32.00871,115.86407,Private room,140,1,72,2022-01-23,0.61,1,108,26,
37688,Living in our family home,162227,Theja,,MELVILLE,-32.06806,115.87674,Private room,71,1,0,,,1,365,0,
42713,Bed with Breakfast,186576,Denise,,IRWIN,-29.25216,114.93205,Private room,94,1,16,2022-06-06,0.19,1,355,5,
59311,family home in canning vale,284743,Rudy And Lina,,GOSNELLS,-32.07592,115.93188,Private room,65,1,7,2018-04-28,0.05,1,362,0,
65261,"Bright but cosy Fremantle Unit, 1-2 Guests",319052,Suzanne Elizabeth,,FREMANTLE,-32.04964,115.76582,Entire home/apt,70,2,273,2022-06-13,2.05,1,150,23,
69534,Palms BB,348191,Teresa,,JOONDALUP,-31.84295,115.80467,Private room,97,2,10,2021-11-12,0.17,1,265,4,
83521,Perth Northern Suburbs Stay-Unique,275749,Daniel,,SWAN,-31.82727,115.88768,Private room,100,1,1,2011-05-09,0.01,1,365,0,
88185,Palmerston Paradise - downstairs,474393,Anne,,VINCENT,-31.942358,115.858208,Private room,75,2,199,2022-06-15,1.46,2,148,14,
100798,Mount Lawley close city/airport,529238,Jean,,STIRLING,-31.92177,115.8769,Private room,50,2,214,2020-03-11,1.58,1,321,0,
119422,Executive Large Single Rm - very comfortable/clean,602975,Mary,,JOONDALUP,-31.81418,115.74194,Private room,70,2,22,2019-11-24,0.17,2,358,0,
141083,"Private Room, ensuite & sep lounge",686529,Suzy,,WANNEROO,-31.65324,115.69228,Private room,195,2,0,,,1,365,0,
141610,"Leela, premium 2 BR spa Villa",688591,Gadi,,DENMARK,-34.98308,117.35286,Entire home/apt,311,5,7,2022-05-25,0.17,5,282,3,
161731,20 Minutes walk to Perth City,773536,Eugene And Terry,,VINCENT,-31.93846,115.86798,Private room,55,1,143,2022-05-14,1.08,1,168,37,
173260,"Serena St Beach House, Falcon Bay",827051,Carol,,MANDURAH,-32.58746,115.65359,Entire home/apt,150,2,39,2022-06-04,0.34,2,344,13,
205892,Walk to Perth & Cultural Centre - West Perth house,1012875,Jane,,VINCENT,-31.94108,115.85282,Private room,60,2,50,2021-06-30,0.38,2,178,1,
231540,The Apple - Heritage Home 8 Acres,747002,Aimee,,BRIDGETOWN-GREENBUSHES,-33.97094,116.148,Entire home/apt,240,2,137,2022-06-09,1.29,1,247,34,
253579,Two Rooms for Price of One,1331712,Steve,,MELVILLE,-32.03495,115.80114,Private room,49,5,29,2016-11-16,0.23,1,351,0,
253921,YOUR OWN SUITE OF ROOMS,256425,Felicia,,EAST FREMANTLE,-32.0356,115.76413,Private room,80,30,9,2022-01-28,0.07,1,348,3,
254578,Back Beach Cottage,1337347,Nicolas,,GINGIN,-31.02491,115.33661,Entire home/apt,192,14,2,2016-01-18,0.02,1,363,0,
274406,Live Like a Local,1430540,Trish,,FREMANTLE,-32.06245,115.74915,Private room,54,2,173,2021-12-11,1.44,3,8,16,
284891,CoSy Vintage Room,1430540,Trish,,FREMANTLE,-32.06055,115.74953,Private room,49,2,270,2022-03-21,2.13,3,1,16,
284909,Peaceful  Perfect Location,1430540,Trish,,FREMANTLE,-32.05854,115.75032,Private room,49,2,260,2022-06-10,2.11,3,5,32,
300640,Extra large room AC NBN WiFi,1548293,Yan,,GOSNELLS,-32.03238,115.958,Private room,60,7,6,2021-12-29,0.05,7,351,1,
304886,Silver Street Studios: Fremantle’s unique retreat,1576058,Judy,,FREMANTLE,-32.0639,115.75135,Entire home/apt,298,4,14,2022-02-01,0.43,1,120,5,
305886,Cool king single by Yule Brook WiFi,1548293,Yan,,GOSNELLS,-32.03238,115.958,Private room,40,7,9,2021-12-14,0.08,7,351,1,
315801,Fully refurbished. Self contained furnished Studio,1621815,Phoebe,,MELVILLE,-32.0296,115.83064,Private room,67,2,28,2022-05-31,0.26,1,64,9,
348872,Foreshore Apt 109 -Great location!,1767860,Jenni,,ALBANY,-35.02808,117.88728,Entire home/apt,80,1,458,2022-06-05,3.65,1,66,38,
363087,Balneaire Seven,1834803,Barbara,,ALBANY,-35.02543,117.91209,Entire home/apt,250,2,133,2022-06-06,2.03,1,308,26,
373860,Standard double room AC NBN,1548293,Yan,,GOSNELLS,-32.03238,115.958,Private room,50,7,6,2022-03-08,0.06,7,359,1,
390748,Relaxing Spa 10 min from the City,1937593,Chantelle & Lance,,CANNING,-32.01614,115.90706,Entire home/apt,800,2,38,2015-12-08,0.31,1,364,0,
423049,Cycling Heaven in the City!,2103766,Sandi,,BASSENDEAN,-31.89739,115.94972,Private room,150,1,0,,,1,365,0,
423227,Eclectic Room for Vegan Guests,1724505,Linda,,VINCENT,-31.93885,115.8811,Private room,80,2,59,2022-06-02,0.49,4,137,8,
454941,Peaceful large queen room by creek,1548293,Yan,,GOSNELLS,-32.03238,115.958,Private room,60,7,9,2022-06-05,0.08,7,356,2,
502563,Resort-Style Home,2479925,El,,JOONDALUP,-31.76679,115.78872,Entire home/apt,301,6,35,2022-05-26,0.29,2,230,11,
529187,Experience hospitality in our home!,2599999,Miri,,ARMADALE,-32.17342,116.0065,Private room,150,1,0,,,1,365,0,
541072,"Beachside House-Prevelly Villas,Margaret River",2659891,Deirdre And Peter,,AUGUSTA-MARGARET RIVER,-33.97896,114.99394,Entire home/apt,240,2,26,2022-05-29,0.25,3,183,11,
552762,Rose on Surrey!  Bed and Breakfast,2716604,Michele,,BELMONT,-31.95904,115.90662,Private room,104,2,120,2022-06-11,0.99,1,320,6,
566327,Cape Illawarra - Architect's Bliss! Bush/wine/surf,2785721,Geri & Greg,,AUGUSTA-MARGARET RIVER,-33.94986,115.0574,Entire home/apt,290,3,29,2022-04-22,0.25,1,125,5,
567450,Lennys: Home SweetHome,2559435,Lenny,,GOSNELLS,-32.07549,115.99272,Private room,50,2,7,2022-05-15,0.06,1,88,3,
588298,Semi Detached Suite - Close to City,2901891,Annette,,VINCENT,-31.92219,115.85459,Entire home/apt,86,2,336,2022-06-16,2.80,1,194,43,
594849,COZY RETRO STYLE Duplex Perth,2939181,Rika,,SOUTH PERTH,-31.98394,115.88867,Entire home/apt,131,2,661,2022-06-04,5.61,1,127,80,
600831,FIFO CONVENIENCE/executive stay,2972842,Jocelyn,,BELMONT,-31.95189,115.91298,Entire home/apt,100,90,0,,,1,173,0,
624479,Cafe Heaven Mt Lawley 10min to CITY,3098327,Merrian,,VINCENT,-31.93947,115.873,Private room,70,2,44,2020-02-20,0.37,2,0,0,
636338,Nature-lovers paradise 20min to CBD,1548293,Yan,,GOSNELLS,-32.03238,115.958,Private room,60,7,10,2021-12-06,0.08,7,359,1,
645598,The Budget House 12km from Perth in leafy setting,1556947,Amber And Theresa,,WANNEROO,-31.84731,115.85116,Entire home/apt,108,6,95,2022-06-04,0.81,2,300,14,
661474,★Family Home★Deluxe & Ideal★FREE WIFI & GIFTS,3339927,Amirah,,CANNING,-32.07286,115.92149,Entire home/apt,250,3,9,2022-04-25,0.13,6,85,3,
662655,Comfy double room by creek AC NBN,1548293,Yan,,GOSNELLS,-32.03294,115.95893,Private room,50,7,11,2021-09-06,0.09,7,351,1,
662660,Cafe Heaven Blue Room Mt Lawley,3098327,Merrian,,VINCENT,-31.93798,115.87341,Private room,70,2,75,2021-09-28,0.65,2,0,1,
667201,Leafy Courtyard Aptmt! Mt Lawley,3374886,Geoff & Lyn,,STIRLING,-31.93019,115.87867,Entire home/apt,90,3,201,2022-06-02,1.69,1,281,24,
668366,The Coach House - Rustic Charm &  Pool,3383167,Noelene,,SUBIACO,-31.95028,115.82215,Entire home/apt,145,5,75,2022-06-06,0.63,1,335,10,
672458,Welcome to our cosy house,3339927,Amirah,,CANNING,-32.03625,115.91183,Entire home/apt,250,3,7,2022-06-06,0.09,6,75,3,
678944,Black George House Country Retreat,3455563,Gordon,,MANJIMUP,-34.31527,116.17746,Entire home/apt,125,2,442,2022-06-17,3.75,1,248,60,
682266,John & Lyns/Quiet Family Home,793327,Lyn & John,,JOONDALUP,-31.75782,115.75606,Private room,35,2,86,2022-03-01,0.74,2,359,11,
682524,Perth Pearsall Flat 23km From City!,1556947,Amber And Theresa,,WANNEROO,-31.7782,115.81276,Entire home/apt,99,4,81,2022-05-09,0.70,2,340,8,
706728,Kambarang Eco-cabin,3632460,Sherry (And Barrie),,DONNYBROOK-BALINGUP,-33.56131,115.9851,Entire home/apt,161,2,159,2022-05-29,1.37,1,327,12,
713282,"Beachfront the WEDGE on the beach,  Mandurah",3671146,Denise & Barry,,MANDURAH,-32.52651,115.6957,Entire home/apt,251,4,16,2022-04-18,0.17,2,297,3,
718652,Unique Duplex with Treetop Balcony,1724505,Linda,,VINCENT,-31.94041,115.88001,Entire home/apt,100,4,48,2022-06-11,0.41,4,84,13,
725819,"Room single Upmarket  near beaches, costs included",3754542,Margaret,,STIRLING,-31.91586,115.7777,Private room,60,2,40,2022-05-29,0.35,7,358,13,
747648,PERTH CITY-G/F GARDEN APARTMENT,3925559,Lina,,STIRLING,-31.9251,115.88111,Entire home/apt,115,4,130,2022-06-04,1.12,2,264,19,
756766,Four on Whatley Perth Maylands flat,512735,Sigrid,,BAYSWATER,-31.92752,115.8931,Entire home/apt,85,7,34,2022-06-17,0.34,8,320,8,
